"telegroup","username","datetime","Symbol","dex","pair","open_price","high_price","low_price","close_price","views","volumeto","volumeto_before","pump_gain","dump_loss"
"Private Group For Pump","PrivateGroupforpump",2018-10-02 20:00:00,"EGC","Cryptopia","BTC",1.005e-05,1.005e-05,9.56e-06,9.55e-06,NA,0.0021272,0.023569,0,-0.0497512437810946
"??Crypto Coinsultants??","cryptocoinsultants07",2018-10-01 20:07:00,"CON","Cryptopia","BTC",2.3e-07,2.3e-07,1.9e-07,2.2e-07,105,0.00473,0.000958,0,-0.0434782608695651
"??Cryptopia Pump Community????","Cryptopia_PumpCommunity",2018-10-01 18:00:00,"SOON","Cryptopia","BTC",6e-07,6e-07,6e-07,5.4e-07,NA,0.005971,0,0,-0.0999999999999999
"LEAK Signal","LeakSignal",2018-10-01 14:00:00,"GNO","Bittrex","BTC",0.0041,0.0041,0.003995,0.004084,NA,0.32921,4.1804,0,-0.00390243902439034
"Crypto Coins (?)","CryptoCoinCoach",2018-09-30 20:00:00,"VIA","Binance","BTC",0.0001079,0.0001096,0.0001038,0.0001024,8733,40.71,66.65,0.0157553290083411,-0.0656934306569343
"Hit Pump Signals &amp; Strategies","hitpumpsandsignals",2018-09-30 20:00:00,"SYNX","Cryptopia","BTC",7.93e-06,7.93e-06,7.93e-06,7.93e-06,1847,0,0.025257,0,0
"Private Group For Pump","PrivateGroupforpump",2018-09-30 19:30:00,"CAN","Cryptopia","BTC",7.74e-06,7.74e-06,7.56e-06,7.56e-06,NA,0.01354,0.0009104,0,-0.0232558139534885
"MassivePump","massivepump1",2018-09-30 18:00:00,"PLR","Yobit","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crypto Pump Island","crypto_pump_island",2018-09-30 16:00:00,"KING","Cryptopia","BTC",4.2e-07,4.2e-07,3.6e-07,3.5e-07,818,0.01671,0.001105,0,-0.166666666666667
"Signals Lion","PrivateLionGroup",2018-09-29 20:00:00,"DATA","Binance","BTC",7.13e-06,7.51e-06,7.11e-06,7.19e-06,NA,155.19,297.7,0.0532959326788218,-0.0426098535286285
"Private Group For Pump","PrivateGroupforpump",2018-09-29 19:30:00,"OXY","Cryptopia","BTC",5.43e-06,5.45e-06,5.43e-06,5.1e-06,NA,0.019945,0.0335531,0.00368324125230215,-0.0642201834862385
"MassivePump","massivepump1",2018-09-29 18:00:00,"XPTX","Yobit","BTC",4.109e-05,4.109e-05,4.109e-05,4.109e-05,20,0,0,0,0
"Signals Lion","PrivateLionGroup",2018-09-28 20:00:00,"PEPE","Cryptopia","BTC",5.12e-06,5.26e-06,5.15e-06,5.15e-06,NA,0.002523,0.003305,0.0273437499999999,-0.0209125475285171
"Pump Machine ??","cryptobullspumpvip",2018-09-28 19:00:00,"BCPT","Cryptopia","BTC",1.392e-05,1.769e-05,1.444e-05,1.701e-05,NA,0.08253,0.0222,0.270833333333333,-0.0384397964951949
"MassivePump","massivepump1",2018-09-28 18:00:00,"FIRE","Yobit","BTC",8.5e-05,8.5e-05,8.5e-05,8.5e-05,20,0,0,0,0
"Private Group For Pump","PrivateGroupforpump",2018-09-27 20:00:00,"SYNX","Cryptopia","BTC",7.31e-06,7.59e-06,7.59e-06,7.35e-06,NA,0.004326,0.06965,0.0383036935704514,-0.0316205533596838
"MassivePump","massivepump1",2018-09-27 18:00:00,"XPRO","Yobit","BTC",8.3e-07,8.3e-07,8.2e-07,8.2e-07,17,0.0001582,0.010655,0,-0.0120481927710844
"Crypto Pump Island","crypto_pump_island",2018-09-27 16:00:00,"MATRX","Cryptopia","BTC",1.4e-07,1.7e-07,1.4e-07,1.7e-07,833,0.005062,0.006924,0.214285714285714,0
"Crypto trading. ™","bestpumpss",2018-09-27 15:00:00,"HC","Binance","BTC",0,0,0,0,3100,0,0,NA,NA
"Cryptopia Pump Squad","cryptoflashsignals",2018-09-25 20:29:00,"SPR","Cryptopia","BTC",1.444e-05,1.549e-05,1.422e-05,1.389e-05,344,0.034146,0.053425,0.0727146814404431,-0.103292446739832
"Private Group For Pump","PrivateGroupforpump",2018-09-25 18:00:00,"SPR","Cryptopia","BTC",1.499e-05,1.549e-05,1.444e-05,1.536e-05,NA,0.039435,4.46735,0.0333555703802534,-0.00839251129761139
"Crypto trading. ™","bestpumpss",2018-09-25 15:00:00,"OAX","Binance","BTC",2.57e-05,2.841e-05,2.566e-05,2.631e-05,2252,12.64,9.26,0.105447470817121,-0.0739176346356917
"Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-09-24 21:00:00,"ERY","Cryptopia","BTC",5.4e-07,5.4e-07,4.5e-07,4.1e-07,NA,0.00162,0.020182,0,-0.240740740740741
"Crypto Yoda Signals","thecryptoyoda",2018-09-24 20:00:00,"YOVI","Cryptopia","BTC",2.77e-06,2.77e-06,2.77e-06,2.77e-06,378,0,0.007797,0,0
"Private Group For Pump","PrivateGroupforpump",2018-09-24 18:00:00,"AUR","Cryptopia","BTC",5.159e-05,5.2e-05,5.2e-05,5.2e-05,NA,0.1193099,0.01965,0.00794727660399298,0
"Crypto Pump Island","crypto_pump_island",2018-09-24 16:00:00,"WSP","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Donald Pump","DonaldPumpCrypto",2018-09-23 19:00:00,"SIB","Cryptopia","BTC",3.429e-05,3.718e-05,3.714e-05,3.714e-05,468,0.005609,0.134029,0.0842811315252261,-0.00107584722969337
"CAMP(Crypto &amp; Massive Pumps)","ExeCrypto",2018-09-23 15:00:00,"MST","Cryptopia","BTC",1.345e-05,1.345e-05,1.345e-05,1.312e-05,411,0.003234,0.007834,0,-0.0245353159851301
"Palm Venice Beach","palmvenicebeach",2018-09-23 12:01:00,"STORM","Binance","BTC",1.2e-06,1.28e-06,1.23e-06,1.24e-06,NA,38.88,22.61,0.0666666666666667,-0.03125
"Big Pump Signal","bigpumpsignal",2018-09-22 20:00:00,"NAV","Binance","BTC",6.33e-05,6.97e-05,6.32e-05,6.09e-05,17669,160.96,265.84,0.101105845181675,-0.126255380200861
"Yobit Pumping Crazy Community™","cryptosignalcrazy",2018-09-22 18:00:00,"ALIS","Cryptopia","BTC",6.5e-06,6.5e-06,6.5e-06,6.5e-06,NA,0,0.0042,0,0
"Dynamic Signals","thedynamicsignals",2018-09-22 17:00:00,"SUB","Binance","BTC",1.679e-05,1.693e-05,1.674e-05,1.676e-05,4143,4.2079,6.71,0.00833829660512202,-0.0100413467217956
"Palm Venice Beach","palmvenicebeach",2018-09-22 06:24:00,"BLZ","Binance","BTC",1.917e-05,1.947e-05,1.862e-05,1.875e-05,NA,18.2,17.83,0.0156494522691706,-0.0369799691833592
"Crypto Rocket ®","cryptorocketr",2018-09-21 17:00:00,"XPRO","Yobit","BTC",8.4e-07,8.4e-07,8.3e-07,8.3e-07,81,0.008215,0.00179,0,-0.0119047619047619
"Palm Venice Beach","palmvenicebeach",2018-09-21 16:48:00,"ENG","Binance","BTC",9.348e-05,9.459e-05,9.249e-05,9.385e-05,NA,30.85,45,0.0118741976893453,-0.0078232371286605
"?? YoBit Pump Team ??","yobitpumpteam2018",2018-09-21 03:02:00,"WW","Cryptopia","BTC",2.5e-07,2.5e-07,2.5e-07,2.5e-07,144,0,0,0,0
"CAMP(Crypto &amp; Massive Pumps)","ExeCrypto",2018-09-21 03:00:00,"WW","Cryptopia","BTC",2.5e-07,2.5e-07,2.5e-07,2.5e-07,239,0,0,0,0
"Palm Venice Beach","palmvenicebeach",2018-09-20 17:24:00,"ARN","Binance","BTC",4.908e-05,5.087e-05,4.913e-05,5.055e-05,NA,24.18,30.18,0.0364710676446618,-0.00629054452526041
"Crypto Pump Island","crypto_pump_island",2018-09-20 16:00:00,"SPR","Cryptopia","BTC",1.563e-05,1.563e-05,1.563e-05,1.554e-05,905,0.003001,0.00861,0,-0.00575815738963537
"Signals Lion","PrivateLionGroup",2018-09-19 20:11:00,"RC","Cryptopia","BTC",1.558e-05,1.6e-05,1.6e-05,1.6e-05,NA,0.0023518,0,0.0269576379974326,0
"MassivePump","massivepump1",2018-09-19 18:00:00,"ALIS","Yobit","BTC",6.23e-06,6.23e-06,6.23e-06,5.7e-06,20,0.000456,0.001644,0,-0.0850722311396469
"MassivePump","massivepump1",2018-09-18 17:00:00,"XMG","Yobit","BTC",9.46e-06,9.46e-06,9.46e-06,9.46e-06,19,0,0.00018,0,0
"Palm Venice Beach","palmvenicebeach",2018-09-18 09:29:00,"GRS","Binance","BTC",8.701e-05,8.957e-05,8.558e-05,8.731e-05,NA,20.05,25.25,0.0294219055281002,-0.0252316623869599
"Palm Venice Beach","palmvenicebeach",2018-09-18 03:12:00,"GRS","Binance","BTC",8.6e-05,9.09e-05,8.601e-05,8.629e-05,NA,38.7,19.1,0.0569767441860465,-0.0507150715071507
"MassivePump","massivepump1",2018-09-17 17:00:00,"IQN","Yobit","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crypto Pump Island","crypto_pump_island",2018-09-17 16:00:00,"UBT","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hit Pump Signals &amp; Strategies","hitpumpsandsignals",2018-09-16 18:00:00,"CNO","Cryptopia","BTC",1.5e-07,1.5e-07,1.5e-07,1.5e-07,1896,0.004016,0.26164,0,0
"MassivePump","massivepump1",2018-09-16 17:00:00,"EQT","Yobit","BTC",1.2e-05,1.2e-05,1.2e-05,1.2e-05,20,0,0.028732,0,0
"MassivePump","massivepump1",2018-09-15 17:00:00,"SEL","Yobit","BTC",5.999e-05,5.999e-05,5.999e-05,5.999e-05,15,0,0,0,0
"Shark Pump Signals","Sharkpumpsignals",2018-09-15 15:00:00,"EMP","Yobit","BTC",2.3e-07,2.3e-07,2.3e-07,2.3e-07,NA,0,0.0003357,0,0
"Cryptopia Pump Squad","cryptoflashsignals",2018-09-13 20:30:00,"BCS","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MassivePump","massivepump1",2018-09-13 17:00:00,"SBIT","Yobit","BTC",3.79e-06,3.79e-06,3.79e-06,3.79e-06,19,0,0.006105,0,0
"Crypto Pump Island","crypto_pump_island",2018-09-13 16:00:00,"EVO","Cryptopia","BTC",1.31e-06,1.31e-06,1.31e-06,1.31e-06,931,0,0.04222,0,0
"Signalsgram","Signalsgram",2018-09-12 20:30:00,"RC","Cryptopia","BTC",1.652e-05,1.652e-05,1.652e-05,1.515e-05,NA,0.0053354,0.023807,0,-0.0829297820823245
"Official McAfee Signals","officialmcafeepumpsignals",2018-09-12 19:30:00,"ATH","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MassivePump","massivepump1",2018-09-11 18:00:00,"BEEZ","Yobit","BTC",1.9e-07,1.9e-07,1.9e-07,1.9e-07,25,0,0,0,0
"Crypto trading. ™","bestpumpss",2018-09-11 16:30:00,"ICN","Binance","BTC",5.491e-05,5.596e-05,5.557e-05,5.586e-05,5223,0.55546,2.1867,0.0191221999635767,-0.00178699070764836
"Crypto Pump Island","crypto_pump_island",2018-09-10 16:00:00,"FUZZ","Cryptopia","BTC",8.3e-07,8.3e-07,7.1e-07,7.1e-07,931,0.003236,0.0012074,0,-0.144578313253012
"Crypto trading. ™","bestpumpss",2018-09-10 15:00:00,"DNT","Binance","BTC",3.32e-06,3.33e-06,3.29e-06,3.23e-06,3153,4.7069,18.63,0.00301204819277106,-0.03003003003003
"Shark Pump Signals","Sharkpumpsignals",2018-09-09 17:59:00,"EMP","Yobit","BTC",2.9e-07,2.9e-07,2.9e-07,2.9e-07,NA,0,0.001036,0,0
"Pump'N'Pump - 2018","pumpn",2018-09-09 16:00:00,"MATRX","Cryptopia","BTC",1.5e-07,1.5e-07,1.5e-07,1.5e-07,NA,0,0.003815,0,0
"CAMP(Crypto &amp; Massive Pumps)","ExeCrypto",2018-09-09 14:00:00,"ALEX","Cryptopia","BTC",1.002e-05,1.002e-05,1.001e-05,1.001e-05,373,0.001804,0.0048057,0,-0.000998003992015958
"MassivePump","massivepump1",2018-09-08 18:00:00,"PARTY","Yobit","BTC",1.7e-07,1.7e-07,1e-07,1e-07,23,0.007414,0.001538,0,-0.411764705882353
"Signalsgram","Signalsgram",2018-09-07 20:00:00,"611","Cryptopia","BTC",1.566e-05,1.65e-05,1.65e-05,1.65e-05,NA,0.005028,0.017671,0.0536398467432952,0
"MassivePump","massivepump1",2018-09-07 18:00:00,"UNITS","Yobit","BTC",3.27e-06,3.27e-06,3.27e-06,3.27e-06,15,0,0.0026415,0,0
"Shark Pump Signals","Sharkpumpsignals",2018-09-07 17:59:00,"SPT","Cryptopia","BTC",2.6e-07,2.6e-07,2.6e-07,2.6e-07,NA,0,0,0,0
"Cryptopia Pump Squad","cryptoflashsignals",2018-09-06 20:15:00,"BNC","Cryptopia","BTC",0.00021,0.0002368,0.00021,0.0002368,349,0.002368,0.05819,0.127619047619048,0
"Donald Pump","DonaldPumpCrypto",2018-09-06 20:00:00,"CMT","Cryptopia","BTC",0,0,0,0,349,0,0,NA,NA
"MassivePump","massivepump1",2018-09-06 18:00:00,"EMP","Yobit","BTC",6.4e-07,6.4e-07,3e-07,3e-07,18,0.0002173,0.0001011,0,-0.53125
"Crypto Pump Island","crypto_pump_island",2018-09-06 16:00:00,"ERY","Cryptopia","BTC",5.7e-07,5.7e-07,5.4e-07,5.4e-07,1250,0.001188,0.0010598,0,-0.0526315789473685
"Official McAfee Signals","officialmcafeepumpsignals",2018-09-05 19:30:00,"WHL","Cryptopia","BTC",2.81e-06,2.82e-06,2.81e-06,2.81e-06,NA,0.023969,0.039009,0.00355871886120993,-0.00354609929078011
"Bomba bitcoin ""cryptopia""","bombabitcoin1",2018-09-05 13:47:00,"RBY","Cryptopia","BTC",5.151e-05,5.183e-05,5.151e-05,5.183e-05,111,0.007154,0.002472,0.00621238594447674,0
"??Crypto Millionaire??","cryptocoinsultants07",2018-09-04 20:07:00,"MGX","Cryptopia","BTC",6.601e-05,6.689e-05,6.601e-05,6.604e-05,113,0.010038,0.237,0.0133313134373581,-0.0127074301091345
"Pump'N'Pump - 2018","pumpn",2018-09-04 15:00:00,"SRC","Cryptopia","BTC",1.12e-06,1.12e-06,1.12e-06,1.12e-06,NA,0,0.012868,0,0
"Bomba bitcoin ""cryptopia""","bombabitcoin1",2018-09-03 17:29:00,"ELCO","Yobit","BTC",5.11e-06,5.11e-06,5.11e-06,3.74e-06,113,0.0021,0,0,-0.268101761252446
"Crypto Pump Island","crypto_pump_island",2018-09-03 16:00:00,"BDL","Cryptopia","BTC",2.5e-07,2.5e-07,2.5e-07,2.5e-07,1103,0.002519,0,0,0
"Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-09-02 21:00:00,"STV","Cryptopia","BTC",1.9e-06,1.9e-06,1.9e-06,1.9e-06,NA,0,0,0,0
"??Crypto Millionaire??","cryptocoinsultants07",2018-09-02 20:07:00,"POST","Cryptopia","BTC",1.06e-06,1.2e-06,1.06e-06,1.2e-06,105,0.003127,0.00396,0.132075471698113,0
"Big Crypto Pump","BigCryptoPump",2018-09-02 02:15:00,"TUSD","Yobit","BTC",0.0001331,0.0001335,0.0001334,0.0001334,886,0.0018742,0,0.00300525920360618,-0.000749063670412003
"MassivePump","massivepump1",2018-09-01 18:00:00,"TUSD","Yobit","BTC",0.0001401,0.0001401,0.000138,0.000138,30,0.01661,0.0006697,0,-0.0149892933618843
