"","telegroup","username","datetime","Symbol","dex","pair","open_price","high_price","low_price","close_price","views","volumeto","volumeto_before","pump_gain","dump_loss","withdata","reprate","withcryptopiadata"
"55","Donald Pump","DonaldPumpCrypto",2018-10-05 20:00:00,"FROST","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.219512195121951,FALSE
"58","Shark Pump Signals","Sharkpumpsignals",2018-10-04 19:00:00,"FRN","Cryptopia","BTC",9e-07,9.1e-07,9.1e-07,9.1e-07,NA,0.005055,0,0.0111111111111111,0,TRUE,0.222222222222222,TRUE
"59","??Crypto Coinsultants??","cryptocoinsultants07",2018-10-03 20:07:00,"LDC","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.225,FALSE
"60","Crypto Pump Island","crypto_pump_island",2018-10-03 16:00:00,"BEEZ","Cryptopia","BTC",2.2e-07,2.2e-07,2.2e-07,2.2e-07,881,0,0.008684,0,0,TRUE,0.227848101265823,TRUE
"61","Cryptopia Pump Squad","cryptoflashsignals",2018-10-02 20:29:00,"IVY","Cryptopia","BTC",2.55e-06,2.57e-06,2.45e-06,2.45e-06,413,0.0496171,0.12254,0.00784313725490189,-0.0466926070038911,TRUE,0.217948717948718,TRUE
"62","Private Group For Pump","PrivateGroupforpump",2018-10-02 20:00:00,"EGC","Cryptopia","BTC",1.005e-05,1.005e-05,9.56e-06,9.55e-06,NA,0.0021272,0.023569,0,-0.0497512437810946,TRUE,0.220779220779221,TRUE
"63","??Crypto Coinsultants??","cryptocoinsultants07",2018-10-01 20:07:00,"CON","Cryptopia","BTC",2.3e-07,2.3e-07,1.9e-07,2.2e-07,105,0.00473,0.000958,0,-0.0434782608695651,TRUE,0.223684210526316,TRUE
"64","??Cryptopia Pump Community????","Cryptopia_PumpCommunity",2018-10-01 18:00:00,"SOON","Cryptopia","BTC",6e-07,6e-07,6e-07,5.4e-07,NA,0.005971,0,0,-0.0999999999999999,TRUE,0.226666666666667,TRUE
"67","Hit Pump Signals &amp; Strategies","hitpumpsandsignals",2018-09-30 20:00:00,"SYNX","Cryptopia","BTC",7.93e-06,7.93e-06,7.93e-06,7.93e-06,1847,0,0.025257,0,0,TRUE,0.216216216216216,TRUE
"68","Private Group For Pump","PrivateGroupforpump",2018-09-30 19:30:00,"CAN","Cryptopia","BTC",7.74e-06,7.74e-06,7.56e-06,7.56e-06,NA,0.01354,0.0009104,0,-0.0232558139534885,TRUE,0.205479452054795,TRUE
"70","Crypto Pump Island","crypto_pump_island",2018-09-30 16:00:00,"KING","Cryptopia","BTC",4.2e-07,4.2e-07,3.6e-07,3.5e-07,818,0.01671,0.001105,0,-0.166666666666667,TRUE,0.208333333333333,TRUE
