"","Currency","CurrencyLong","MinConfirmation","TxFee","IsActive","IsRestricted","CoinType","BaseAddress","Notice"
"67","GEO","GeoCoin",36,0.1,TRUE,FALSE,"ETH_CONTRACT","0xb3c4e9ca7c12a6277deb9eef2dece65953d1c864",NA
"68","FLDC","FoldingCoin",6,150,TRUE,FALSE,"COUNTERPARTY","1AeqgtHedfA2yVXH6GiKLS2JGkfWfgyTC6",NA
"69","GRC","GridCoin",120,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"70","FLO","FLO",2000,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"71","NBT","Nubits",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"72","XEM","NEM",10,4,TRUE,FALSE,"NEM","ND2JRPQIWXHKAA26INVGA7SREEUMX5QAI6VU7HNR",NA
"73","MUE","MonetaryUnit",50,0.02,TRUE,FALSE,"BITCOIN","7cj7HboKG2PUV2jQcAU79naeCQvmV1doJW",NA
"74","XVC","Vcash",30,0.002,TRUE,FALSE,"BITCOIN",NA,""
"75","CLAM","CLAMs",6,0.2,TRUE,FALSE,"BITCOIN","xHWM9sQVJS3WgLm88j29tpFfZw17TmbRoq",NA
"76","DMD","Diamond",6,0.002,TRUE,FALSE,"BITCOIN",NA,NA
"77","GAM","Gambit",36,0.3,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"78","SPHR","Sphere",6,0.002,TRUE,FALSE,"BITCOIN",NA,NA
"79","OK","OkCash",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"80","SNRG","Synergy",6,0.002,TRUE,FALSE,"BITCOIN",NA,NA
"81","PKB","ParkByte",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"82","CPC","CapriCoin",250,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"83","AEON","Aeon",400,0.1,TRUE,FALSE,"CRYPTO_NOTE_PAYMENTID","WmtK9TQ6yd2ZWZDAkRsebc2ppzUq2Wuo9XRRjHMH2fvqM3ARVqk3styJ6AavJFcpJFPFtxRGAqGFoJMZGJ6YYzQ61TYGfpykX",NA
"84","ETH","Ethereum",36,0.006,TRUE,FALSE,"ETH","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"85","GCR","GlobalCurrencyReserve",60,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"86","TX","TransferCoin",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"87","BCY","BitCrystals",6,5,TRUE,FALSE,"COUNTERPARTY","1AeqgtHedfA2yVXH6GiKLS2JGkfWfgyTC6",NA
"88","EXP","Expanse",80,0.01,TRUE,FALSE,"ETH","0xc9710872d3e65edbf7f8776829dd7b21f2085e40",NA
"89","INFX","InfluxCoin",6,0.1,TRUE,FALSE,"BITCOIN",NA,""
"90","OMNI","OmniCoin",2,0.1,TRUE,FALSE,"OMNI","1DUb2YYbQA1jjaNYzVXLZ7ZioEhLXtbUru",NA
"91","USDT","Tether",2,5,TRUE,FALSE,"OMNI","1DUb2YYbQA1jjaNYzVXLZ7ZioEhLXtbUru",NA
"92","AMP","SynereoAmp",2,5,TRUE,FALSE,"OMNI","1DUb2YYbQA1jjaNYzVXLZ7ZioEhLXtbUru",NA
"93","AGRS","IDNI Agoras",2,5,TRUE,FALSE,"OMNI","1DUb2YYbQA1jjaNYzVXLZ7ZioEhLXtbUru",NA
"94","XLM","Lumen",2,0.01,TRUE,FALSE,"LUMEN","GB6YPGW5JFMMP2QB2USQ33EUWTXVL4ZT5ITUNCY3YKVWOJPP57CANOF3",NA
"95","BITCNY","BitCNY",2,1.5,TRUE,FALSE,"BITSHAREX","bittrex-deposit",NA
"96","CLUB","ClubCoin",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"97","RVR","RevolutionVR",6,0.1,TRUE,FALSE,"BITCOIN",NA,NA
"98","EMC","EmerCoin",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"99","FCT","Factom",2,0.01,TRUE,FALSE,"FACTOM","FA2MZs5wASMo9cCiKezdiQKCd8KA6Zbg2xKXKGmYEZBqon9J3ZKv",NA
"100","MAID","MaidSafeCoin",2,2,TRUE,FALSE,"OMNI","1DUb2YYbQA1jjaNYzVXLZ7ZioEhLXtbUru",NA
"101","EGC","EverGreenCoin",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"102","SLS","SaluS",6,0.002,TRUE,FALSE,"BITCOIN",NA,NA
"103","RADS","Radium",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"104","DCR","Decred",6,0.01,TRUE,FALSE,"BITCOIN",NA,NA
"105","SAFEX","SafeExchangeCoin",2,100,TRUE,FALSE,"OMNI","1DUb2YYbQA1jjaNYzVXLZ7ZioEhLXtbUru",NA
"106","PIVX","Pivx",6,0.02,TRUE,FALSE,"BITCOIN","D9W8DPPC953iQbqWJqtfGHdtfTcr1kkm4U",NA
"107","MEME","Memetic",30,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"108","STEEM","STEEM",20,0.01,TRUE,FALSE,"STEEM","bittrex",NA
"109","2GIVE","2GIVE",6,0.01,TRUE,FALSE,"BITCOIN_PERCENTAGE_FEE",NA,NA
"110","LSK","Lisk",304,0.1,TRUE,FALSE,"LISK","6687808873757044786L",NA
"111","PDC","Project Decorum",2,5,TRUE,FALSE,"OMNI","1DUb2YYbQA1jjaNYzVXLZ7ZioEhLXtbUru",NA
"112","DGD","Digix DAO",36,0.038,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"113","BRK","Breakout",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"114","WAVES","Waves",20,0.001,TRUE,FALSE,"WAVES","3P31zvGdh6ai6JK6zZ18TjYzJsa1B83YPoj",NA
"115","RISE","Rise",77,0.1,TRUE,FALSE,"LISK","1644223775232371040R",NA
"116","LBC","LBRY Credits",30,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"117","SBD","SteemDollars",20,0.01,TRUE,FALSE,"STEEM","bittrex",NA
"118","BRX","Breakout Stake",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"119","ETC","Ethereum Classic",72,0.01,TRUE,FALSE,"ETH","0xe592b0d8baa2cb677034389b76a71b0d1823e0d1",NA
"120","STRAT","Stratis",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"121","UNB","UnbreakableCoin",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"122","SYNX","Syndicate",20,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"123","TRIG","TRIG Token",6,5,TRUE,FALSE,"COUNTERPARTY","1AeqgtHedfA2yVXH6GiKLS2JGkfWfgyTC6",NA
"124","EBST","eBoost",2,0.1,TRUE,FALSE,"BITCOIN",NA,NA
"125","VRM","Verium",30,0.4,TRUE,FALSE,"BITCOIN",NA,NA
"126","SEQ","Sequence",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"127","SNGLS","SingularDTV",36,3.5,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"128","REP","Augur",36,0.1,TRUE,FALSE,"ETH_CONTRACT","0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98",NA
"129","SHIFT","Shift",77,0.01,TRUE,FALSE,"LISK","15128408768964966812S",NA
