"","Symbol","mktcap"
"882","NIO",350
"81","NOTE",349
"1446","RED",349
"688","MYB",348
"1396","AC3",347
"1846","XRA",346
"1291","RNTB",344
"1635","CEN",342
"1482","PKC",339
"1158","NKC",338
"1348","SRCOIN",338
"1123","AAC",337
"1258","SHIP",336
"1439","SNTR",336
"1476","ABYSS",335
"717","AVT",333
"1305","BERRY",333
"1906","GENE",333
"802","SIC",330
"1242","LEDU",325
"128","ABY",323
"1109","GAT",323
"2012","WTL",323
"1342","EFX",320
"168","FLDC",318
"1071","VZT",318
"1451","AVA",317
"123","MOTO",314
"1204","ACAT",314
"1501","ALX",312
"112","PINK",311
"679","IFT",311
"1159","COFI",311
"1327","CBT",311
"789","AIR",308
"1360","APH",304
"1303","FDZ",303
"1642","COIN",303
"1301","SENC",302
"1429","HER",302
"229","SPHR",301
"362","SYNX",300
"26","QRK",299
"792","ALIS",297
"1417","NPER",297
"1583","OLE",291
"1742","SCC",290
"1382","FLP",289
"848","PIRL",288
"1878","PRJ",288
"69","AUR",287
"1523","CCCX",287
"1426","CLN",286
"1489","SSP",286
"501","ATMOS",285
"704","OPT",279
"696","BQ",278
"1659","FOOD",277
"1859","ALI",277
"674","ADST",276
"1180","ADB",274
"1775","SVD",273
"905","LTHN",269
"1006","BNTY",268
"1744","FORK",268
"1821","MIB",266
"1017","PLAY",265
"106","BLU",263
"232","XSD",263
"425","GOLOS",261
"1694","X8X",259
"1105","IPL",258
"454","GCC",255
"1701","KNT",255
"1260","SHP",254
"1238","INSTAR",253
"417","IOP",252
"993","STAR",251
"750","PIX",250
"97","XPD",249
"174","EXCL",249
"793","BTCZ",248
"1752","NOKU",247
"831","ICOS",245
"783","REAL",244
"1221","CPY",244
"261","TX",242
"960","SNOV",242
"1356","HBZ",242
"1087","SENSE",240
"979","HWC",239
"1519","ONL",237
"826","BLUE",236
"1515","BOB",236
"1554","NUSD",235
"1629","NBR",235
"626","NET",234
"974","UQC",234
"1056","REBL",234
"828","LIFE",233
"132","KORE",231
"1018","MTX",231
"163","WSX",230
"1248","J8T",229
"1179","ZLA",228
"1911","UCN",228
"482","TKS",224
"777","INXT",224
"1808","CTC",224
"957","SEND",223
"1171","TRF",223
"1636","BITX",223
"119","CURE",222
"338","2GIVE",222
"270","BCY",220
"23","CBX",219
"980","PKT",219
"1343","FTX",219
"900","UFR",218
"2007","BC",218
"477","ZER",217
"326","QWARK",215
"1383","CMCT",215
"1467","0xBTC",215
"282","1337",214
"1537","LIKE",214
"1762","METM",213
"2024","S",213
"384","LMC",212
"2074","JSE",212
"251","SPRTS",211
"1237","BEE",211
"1971","CPLO",210
"937","DIVX",209
"1026","CAT",209
"1833","DOW",209
"1912","CRBT",207
"1244","HQX",206
"1398","ZIPT",206
"243","HXX",205
"734","SCL",201
"1791","SEAL",201
"79","ZEIT",200
"870","ATL",200
"1820","KWATT",200
"381","KB3",199
"158","NEOS",198
"794","HGT",198
"1450","FACE",198
"1807","RATING",198
"1563","MTC",197
"332","XHI",196
"361","BRX",196
"2097","RKC",196
"1321","ADH",194
"1856","UBC",194
"43","TIPS",193
"172","USNBT",192
"1025","FDX",191
"1174","PARETO",191
"1129","ARY",190
"1976","RPM",190
"253","CPC",188
"310","MEME",188
"1824","SONIQ",188
"685","SMOKE",187
"287","OBITS",186
"1266","FLUZ",186
"59","MAX",184
"426","NXC",184
"1842","VULC",183
"1423","SHL",182
"1895","BIR",182
"1966","ERT",182
"1290","SIG",181
"1332","DAN",181
"1197","LOCI",180
"1302","VIT",180
"547","ETBS",179
"1235","SETH",179
"597","DNR",174
"1773","XAP",174
"904","PRIX",173
"928","PBL",172
"391","PLU",171
"1092","AIT",171
"1963","DAGT",171
"821","OTN",170
"1359","TRAK",169
"1993","QUAN",169
"1106","IDXM",168
"293","RC",167
"1207","DTH",165
"14","GLD",164
"1556","TGAME",162
"1295","IPSX",161
"1765","AKA",161
"1785","HB",161
"217","LDOGE",160
"1490","HOLD",160
"364","HEAT",159
"387","VRM",159
"615","WOMEN",158
"893","BPL",158
"68","DOPE",157
"2088","PEDI",157
"1261","LALA",156
"1977","BETHER",156
"732","IND",155
"52","TES",154
"988","WRC",154
"1202","TIG",154
"1273","LATX",154
"1378","BETR",154
"89","BELA",153
"1601","RYO",153
"233","UNIT",152
"1764","C2C",152
"1454","LUC",151
"148","CANN",150
"152","HYP",150
"742","ELIX",149
"1406","FREC",148
"75","UFO",147
"728","BUZZ",147
"727","REX",146
"941","WISH",146
"1212","GLA",146
"1525","THRT",146
"747","DAY",145
"1713","XCEL",145
"1872","EVN",144
"1858","FLOT",141
"948","PFR",140
"735","ATB",139
"558","ETT",138
"4","TRC",137
"970","WAND",137
"551","EBST",136
"1885","ZEST",136
"1901","BTXC",134
"1576","KRL",132
"748","CHIPS",131
"1491","TRTT",131
"413","ZOI",130
"543","SUMO",130
"577","MRT",129
"621","HERO",129
"1294","SPD",128
"1510","FSBT",128
"1167","SMS",127
"1732","OWN",127
"892","TIE",126
"1575","JOT",126
"1760","CYFM",126
"355","BRK",125
"437","DAR",125
"638","SKIN",125
"1404","OOT",124
"238","ADC",122
"12","WDC",121
"230","MEDIC",121
"972","CRED",121
"47","42",120
"1391","BOUTS",120
"147","CARBON",119
"193","GCN",119
"1268","GETX",119
"1509","ZINC",119
"1801","MOZO",119
"1329","AUC",118
"587","GOOD",117
"1706","SPN",117
"53","NOBL",116
"593","EFYT",116
"1505","ORS",116
"1664","XUN",116
"1954","MNP",116
"866","IBTC",115
"1098","HORSE",115
"1573","PTT",115
"863","EBTC",114
"1119","REF",114
"294","EGC",113
"1456","NAVI",113
"2034","ENTS",113
"1102","MVC",112
"1449","INV",111
"1466","BBO",111
"371","KRB",110
"971","SPF",110
"1436","LWF",110
"1839","TAC",110
"1717","GIC",109
"619","RUP",108
"682","TCC",108
"1110","SEXC",108
"1829","FTXT",108
"61","HUC",107
"1840","CST",107
"1300","XCLR",106
"1784","TALAO",106
"498","ECN",105
"862","FYP",105
"938","MONK",104
"673","CAT",103
"1286","AMLT",103
"1567","SPX",103
"490","UNI",102
"942","EVC",102
"1394","GENE",102
"770","VOISE",101
"1134","TBX",101
"1334","MFG",100
"1007","ACE",99
"1582","NRVE",99
"1772","ZCR",99
"165","BUN",98
"1615","EXMR",98
"71","PTC",97
"910","SGR",97
"958","BON",97
"1798","GPKR",97
"350","PWR",96
"1160","EQL",96
"108","XBC",95
"432","POSW",95
"1099","RCT",94
"1313","FID",94
"1550","XMCT",94
"772","ATM",93
"1083","HAC",93
"944","ONG",92
"1371","VME",91
"1852","FKX",91
"210","KOBO",90
"695","BBP",90
"1245","STAC",90
"603","PING",89
"1292","XBP",89
"1540","XSG",89
"1103","PUT",88
"225","NTRN",87
"345","NLX",87
"929","MAG",87
"1352","PHI",87
"418","VRS",86
"537","EQT",86
"1562","CDM",86
"1693","KIND",86
"1925","AOG",86
"179","BITS",85
"523","RAIN",85
"678","MBI",85
"849","XNN",85
"875","FOR",85
"2073","ROBET",85
"1940","XCASH",84
"1941","SHARD",82
"1192","MNTP",81
"10","IXC",80
"219","LOG",80
"1259","LDC",80
"1559","NOBS",80
"1602","BIT",80
"1652","WEB",80
"1714","LYNX",80
"1746","EGEM",80
"207","SMLY",79
"1547","ZXC",79
"973","SCT",78
"419","HUSH",77
"1183","ING",77
"15","ARG",76
"667","NDC",76
"762","TZC",76
"2014","NDX",76
"442","CCRB",75
"720","VSX",75
"1888","PENG",75
"1921","EVI",75
"1942","IQN",75
"657","KEK",74
"1496","FGC",74
"93","EFL",73
"175","TROLL",73
"1023","PYLNT",73
"220","CRAVE",72
"901","STU",72
"1477","PMNT",72
"1478","HUR",72
"1687","EUNO",72
"2096","MTRC",72
"30","I0C",71
"146","XCN",71
"581","DCY",71
"1665","BTK",71
"78","PHO",70
"120","SUPER",70
"859","ELLA",70
"1096","ORE",70
"1643","KLKS",70
"1735","IG",70
"1968","AUX",70
"2015","ZEUS",70
"41","ORB",69
"451","TSE",69
"241","FJC",68
"699","XMCC",68
"1899","BEN",68
"60","Q2C",67
"82","SKC",67
"1024","STAK",67
"1980","XGS",67
"1592","FOXT",66
"1627","WSD",66
"1055","AIX",65
"1558","ENGT",65
"565","MORE",63
"1169","BTW",63
"1875","DIT",63
"2067","ALT",63
"1922","CFL",62
"255","MANNA",61
"1355","DML",61
"1422","SGN",61
"1917","XCG",61
"2037","SMQ",61
"503","ZENI",60
"528","CREA",60
"681","RIYA",60
"759","KLN",60
"1200","BIO",60
"1894","GNR",60
"2053","BLOC",60
"177","DP",59
"756","TGT",59
"1967","WEB",59
"620","PCN",58
"1424","FND",58
"1443","FT",58
"1989","ACM",58
"90","FLT",57
"347","CTL",57
"887","INN",57
"1045","CFUN",57
"1188","ESZ",57
"1269","HIRE",57
"1541","DTX",57
"385","BTDX",56
"1340","CRC",56
"2089","GZRO",56
"155","BTM",55
"184","NSR",55
"228","AIB",55
"513","ALT",55
"1380","AMN",55
"1385","LIVE",55
"1663","BND",55
"368","808",54
"726","OCL",54
"1395","APR",54
"1795","HAND",54
"29","TAG",53
"111","CDN",53
"1041","CL",53
"2023","SHPING",53
"405","ARC",52
"817","XGOX",52
"1431","TKA",52
"1609","NCP",52
"1661","PTS",52
"1866","CYMT",52
"1959","WELL",52
"2106","TYPE",52
"13","DGC",51
"649","CMPCO",51
"665","MAO",51
"705","SUR",51
"1656","OBT",51
"2070","FBN",51
"103","POP",50
"206","NKA",50
"1240","EZT",50
"341","LANA",49
"1593","RTB",49
"2064","IXE",49
"1516","KNDC",48
"1336","ADI",47
"1594","TOLL",47
"2000","WSP",47
"339","XPTX",46
"954","MAGE",46
"1323","BSM",46
"1763","NTK",46
"171","BITBTC",45
"670","RUPX",45
"986","AMM",45
"1187","DRPU",45
"1445","CAZ",45
"1897","AAA",45
"1955","PYX",45
"291","MOIN",44
"309","TRUMP",43
"911","VIU",43
"1513","DOR",43
"1708","BBS",43
"1928","BUNNY",43
"180","DSH",42
"290","ADZ",42
"344","MXT",42
"883","CTX",42
"1739","XDNA",42
"1920","CSTL",42
"2059","IRD",42
"17","PXC",41
"166","OPAL",41
"208","BITSILVER",41
"588","BRO",41
"806","PIPL",41
"1571","ELY",41
"1853","BEET",41
"1939","SOL",41
"335","EL",40
"438","IFLT",40
"803","ATS",40
"1081","IC",40
"1293","LNC",40
"1638","PRIV",40
"2051","MMO",40
"1262","OCC",39
"2046","HUZU",39
"687","GRWI",38
"1044","OPC",38
"1805","CATO",38
